name,email_address,social_security_num,gender_age,ethnicity,movie1,movie2,movie3,movie4,movie5
Natalie Burke,deanna68@example.org,712-07-3680,Male 35-54,Caucasian or White,The Shawshank Redemption,Seven,Joker,Die Hard 2,V for Vendetta
Pamela Jones,arianaguerra@example.net,048-66-1402,Female 35-54,Caucasian or White,The Godfather,The Nightmare Before Christmas,Fireproof, , 
Troy West,murphylaura@example.net,707-36-6093,Female 35-54,Asian or Pacific Islander,Zoolander,Bridesmaids,Inception, , 
Brandon Cox,rsoto@example.org,245-17-6077,Female 35-54,Other,As Good as It Gets,Forrest Gump,The Sound of Music,E.T.,Saving Private Ryan
Bobby Parrish,lopezkevin@example.com,774-98-0205,Male 35-54,Asian or Pacific Islander,Reservoir Dogs,The NeverEnding Story,The Princess Bride,The Transporter,The Matrix
Alison Thomas,kchurch@example.org,756-42-9694,Female 35-54,Caucasian or White,The color purple,Terms of Endearment,Steel Magnolias,The Godfather: Part II,Full Metal Jacket
Paula Meyer,vsavage@example.net,562-71-8663,Male 35-54,African-American or Black,Help!, , , , 
Erika Moore,charleshill@example.com,087-16-8042,Female 35-54,African-American or Black,Fast and Furious,John Q,Menace II Society,Rambo: First Blood Part II,Rambo III
Danielle Thomas,paul38@example.com,450-69-7176,Female 35-54,Asian or Pacific Islander,Breakfast at Tiffany's,Love Actually,Home Alone,Robin Hood: Men in Tights, 
Tracy Stephens,ygardner@example.org,317-98-1308,Male 18-24,Asian or Pacific Islander,The Fast and the Furious: Tokyo Drift,MI-5,Adventures of Aladdin,Jason Bourne, 
Evan Meadows,jaimewatkins@example.com,263-26-7438,Female 18-24,African-American or Black,The SpongeBob SquarePants Movie,Ralph Breaks the Internet, , , 
Beverly Mitchell,ricardotaylor@example.org,620-23-0955,Female 35-54,Caucasian or White,The Princess Bride,Never Been Kissed,The Little Mermaid,Speed,Star Wars: Episode VI - Return of the Jedi
Alex Parker,fosterdanny@example.org,565-26-7464,Female 35-54,Asian or Pacific Islander,Frozen,Avengers: Infinity War,Maleficent,Good Boys,Hide and seek
Miguel Lewis,drobertson@example.org,528-38-2881,Female 35-54,Caucasian or White,The Shawshank Redemption,The Green Mile,Dirty Dancing,Elf,Twister
April Evans DDS,julieking@example.com,400-62-9610,Female 35-54,African-American or Black,diary of a mad black woman,waiting to exhale,Cult of Chucky,Mary Poppins,toy
Karina Smith,johnsonjoshua@example.org,022-75-3514,Female 35-54,Asian or Pacific Islander,Almost Famous,Goodfellas,Sex and the City, , 
Robert Levy,monicaanderson@example.com,157-84-4627,Female 35-54,Caucasian or White,Batman,Harry Potter and the Goblet of Fire, , , 
Carla Smith,robertsonashley@example.com,664-67-7114,Female 35-54,Caucasian or White,Rocky,Jaws,The Shining,The Amityville Horror,King kong
Colleen Palmer,mharper@example.org,714-16-6169,Male 35-54,Caucasian or White,Forrest Gump,Star Wars: Episode IV - A New Hope,The World according to Garp,Saving Private Ryan,A Christmas Story
Amy Hayes,qzimmerman@example.com,899-57-9567,Female 18-24,Other,The Fault in Our Stars,Me Before You,Hacksaw Ridge, , 
Lauren Miller,dereksmith@example.org,844-32-7895,Male 25-34,African-American or Black,Above the Rim,House Party,Coming to America,A Thin Line Between Love and Hate,Who Framed Roger Rabbit
Jonathan Clay,andersondeborah@example.com,867-47-7357,Female 18-24,Asian or Pacific Islander,Moana,Wreck-It Ralph,Avengers: Endgame,A.I. Artificial Intelligence,The Secret Life of Pets 2
Christopher Flores,robertbarker@example.net,471-12-4845,Female 25-34,Caucasian or White,Labyrinth,The Nightmare Before Christmas,Selena,Beetlejuice,Pineapple Express
Audrey Anderson,mrivera@example.org,464-18-0174,Male 35-54,Caucasian or White,Goodfellas,The Departed,The Godfather,Star Wars: Episode IV - A New Hope,Star Wars: Episode VI - Return of the Jedi
Megan Gutierrez,cortezjessica@example.net,828-39-6845,Female 25-34,Other,it,The Killing of a Sacred Deer,Premonition,Selena,Rambo: First Blood Part II
Mr. Francis Graham,brhodes@example.com,670-44-4084,Female 25-34,Asian or Pacific Islander,Avengers: Endgame,Star Wars: Episode VI - Return of the Jedi,"I Love You, Man",The Birdcage,Howl's Moving Castle
Mr. Alan Peterson,marcuscampbell@example.com,405-03-9242,Female 25-34,African-American or Black,jewel of the nile,Scarface,Pocahontas, , 
Kimberly Pope,shieldsmark@example.com,800-91-2224,Female 35-54,Caucasian or White,Casablanca,Guess whos coming to dinner,Willy Wonka & the Chocolate Factory,Gone with the Wind,New Jack City
Lauren Kelley,dgonzalez@example.net,652-48-3380,Male 14-17,Caucasian or White,Teenage Mutant Ninja Turtles,Good Boys,Fast and Furious, , 
Kenneth Graham MD,zgonzalez@example.net,265-31-3416,Female 35-54,Caucasian or White,The Hudsucker Proxy,As Good as It Gets,When Harry Met Sally...,Moana,The Princess Bride
Joseph Cummings,fmason@example.com,376-28-9752,Male 35-54,Asian or Pacific Islander,Star Wars: Episode VI - Return of the Jedi,Star Wars: Episode V - The Empire Strikes Back,Star Wars: Episode IV - A New Hope,Love Actually,Fools Rush In
Brittney Singh,lauriekey@example.org,465-93-3281,Female 35-54,Caucasian or White,The Lost Boys,The Exorcist,Constantine,A Nightmare on Elm Street,Daybreakers
Angela Stanley,jennifersmith@example.com,565-18-5153,Female 35-54,Caucasian or White,Blood Will Tell,Casa de mi Padre, , , 
Abigail Carter,fernandezkelly@example.com,804-86-8593,Female 25-34,Other,A Walk to Remember,Avengers: Endgame,Captain America: Civil War,Avengers: Infinity War,The Lion King
Alexander Short,lori47@example.net,444-15-0619,Male 18-24,Caucasian or White,Step Brothers,The Dip Run,Identity Thief,Tammy,Ted
Sheila Snyder,malexander@example.org,178-43-3516,Female 35-54,American Indian or Alaska Native,The Boy in the Striped Pajamas,One Flew Over the Cuckoo's Nest,Some Like It Hot,Gone with the Wind,"Planes, Trains & Automobiles"
Joseph Clark,srios@example.org,820-89-6641,Female 14-17,African-American or Black,Ponyo,Flipped,Labyrinth,The Princess Bride,Grease 2
Andrea Acosta,davissarah@example.com,766-36-8640,Female 35-54,Asian or Pacific Islander,Her,Frances Ha,The Florida Project,Burning,Mermaids
Jesus Robbins,smithmatthew@example.com,345-62-0232,Female 14-17,Asian or Pacific Islander,Star Wars: Episode IV - A New Hope,Interstellar,First Man,The Godfather,The Godfather: Part II
Anthony Peterson,angela63@example.org,119-58-6366,Female 14-17,Caucasian or White,Black Panther,Aladdin,Chicken Run,Chicken Little,Toy Story
Anthony Wood MD,smithsteven@example.org,420-44-5673,Female 14-17,Asian or Pacific Islander,V for Vendetta,Up,The Little Mermaid,Beauty and the Beast,IT
Mark Alvarez,hgibson@example.net,018-24-2828,Female 18-24,Caucasian or White,The Lion King,Moana,The Little Mermaid,Jurassic Park,Toy Story
Tracey Garcia,anthony35@example.net,161-56-8611,Female 18-24,African-American or Black,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Bolt,Frozen, , 
William Jones,jchung@example.net,195-38-4022,Male 35-54,Caucasian or White,Fast and fourius,Gohst,Saving Private Ryan,Benjamin Buttons,Star Wars: Episode II - Attack of the Clones
Deborah Watson,lkent@example.org,024-10-9675,Male 14-17,Caucasian or White,Annabelle,Hot Rod,Balls of Fury,Spider-Man,Superman
Matthew Williams,samueltorres@example.net,187-60-1196,Female 14-17,Caucasian or White,Sleepy Hollow,Coraline,Talladega Nights: The Ballad of Ricky Bobby,Matilda,Edward Scissorhands
Scott Mcdonald,whartman@example.org,209-25-7822,Male 14-17,Caucasian or White,Children of the corn, , , , 
Misty Sanders,pollardann@example.net,498-96-6893,Male 35-54,Caucasian or White,The Fast and the Furious,Mad Max Beyond Thunderdome,Lethal Weapon,Die Hard,Tomb Raider
Taylor Rodriguez,matthewdavis@example.net,020-77-6936,Male 35-54,Caucasian or White,Coneheads, , , , 
Sarah Serrano,anitahall@example.com,081-83-1211,Male 35-54,Caucasian or White,Star Wars: Episode V - The Empire Strikes Back, , , , 
Amy Torres,xbrown@example.net,554-80-7235,Male 18-24,American Indian or Alaska Native,Godzilla: King of the Monsters,Terminator 2: Judgment Day,Avengers: Endgame,Avengers: Infinity War,Avengers: Age of Ultron
Jennifer Cherry,qgriffin@example.org,520-46-5203,Male 35-54,Caucasian or White,Titanic - La leggenda continua,Avengers of Justice: Farce Wars,Spider-Man 2,minnions,up
Misty Brown,masontodd@example.org,124-69-6960,Male 14-17,Caucasian or White,Star Wars: Episode VI - Return of the Jedi,Star Wars: Episode III - Revenge of the Sith,Star Wars: Episode V - The Empire Strikes Back,The Avengers,X-Men: Apocalypse
Justin Heath,rfranklin@example.org,727-18-0568,Male 35-54,Caucasian or White,American Splendor,Incredibles 2, , , 
Edward Hurst,smitchell@example.org,649-80-7074,Female 14-17,Asian or Pacific Islander,Aladdin,Frozen,Sleeping Beauty,Cinderella,Forrest Gump
Jimmy King,harperterry@example.net,009-61-7337,Male 35-54,Caucasian or White,Star Wars: Episode V - The Empire Strikes Back,Forrest Gump,Star Wars: Episode IV - A New Hope,Patton,The Shawshank Redemption
Erika Allen,laurahill@example.net,153-56-6487,Male 35-54,Caucasian or White,Heat,Point Break,Angels with dirty faces,El Camino,A Few Good Men
Eric Ramos,barbarastout@example.org,890-11-5511,Female 35-54,Asian or Pacific Islander,Up,Titanic, , , 
Jason Holmes,valerieallen@example.com,563-08-8171,Female 25-34,American Indian or Alaska Native,Goodfellas,Clueless,It's Complicated,Othello,Casino
Edward Perez,rosematthew@example.org,276-26-7512,Male 35-54,Caucasian or White,Star Wars: Episode IV - A New Hope,Star Wars: Episode VI - Return of the Jedi,Red Dawn,Pet Sematary,Toy Story
Jason Barnes,lopezjames@example.com,143-74-3094,Female 35-54,African-American or Black,Rock N Rolla,The Breakfast Club,Love Actually,John Wick,The Lost Boys
Trevor Mitchell,vponce@example.net,482-27-0784,Female 25-34,Other,Twilight,Bad Boys,10 Things I Hate About You,The Lake House,Fast and Furious
Jaclyn Bennett,michaelnguyen@example.net,879-36-7074,Female 25-34,Caucasian or White,Death Becomes Her,Clueless,Moulin Rouge,Scream,Urban Legend
Jeffrey Carter,thompsonkathryn@example.com,126-01-0559,Female 35-54,Caucasian or White,Mamma Mia!,The Sound of Music, , , 
Chris Hart,bbrown@example.net,698-34-0224,Male 35-54,Caucasian or White,Full metal jacket, , , , 
Roberto Cooley,susan23@example.net,344-54-6740,Male 35-54,Caucasian or White,King Arthur,Batman,Batman Begins,Gladiator,Avengers: Endgame
Angela Casey,jkim@example.net,743-57-4378,Female 35-54,Caucasian or White,Sabrina,You've Got Mail,Toy Story,The American President,Sleepless in Seattle
Sheena Lara,masondavid@example.net,380-14-7813,Male 18-24,Asian or Pacific Islander,It's Such a Beautiful Day,La La Land,Interstellar,Star Wars: Episode IV - A New Hope,Blade Runner
Breanna Harris,melissahall@example.com,158-35-9661,Male 35-54,Caucasian or White,Avengers: Infinity War,Avengers: Endgame,Dogma,Aladdin,Beauty and the Beast
David Branch,nataliemunoz@example.org,656-01-2438,Female 35-54,Caucasian or White,The Blue Lagoon,The Princess Bride,The Hunger Games,Hocus Pocus,The Twilight Saga: Breaking Dawn - Part 2
Tiffany Allen,vboone@example.org,719-95-0895,Male 35-54,Caucasian or White,Star Wars: Episode IV - A New Hope,Star Wars: Episode VI - Return of the Jedi,Star Wars: Episode V - The Empire Strikes Back, , 
Victoria Chapman,courtneywilliams@example.org,506-47-7034,Female 35-54,African-American or Black,Django Unchained,Taxi Driver,Baby Driver,Goodfellas,Joker
Elizabeth Anderson,jacob07@example.net,085-89-0381,Female 35-54,Caucasian or White,Top Gun,Sixteen Candles,Pretty in Pink,The Breakfast Club,Sweet Home Alabama
Renee Gomez,amymeyer@example.net,588-51-9908,Female 35-54,Caucasian or White,The Perfect Storm,Mrs. Doubtfire,Forrest Gump,Transformers,The Green Mile
Laura Rogers,andrewjohnson@example.net,458-40-7148,Female 35-54,Caucasian or White,Forrest Gump,American Beauty,Life Is Beautiful,It's a Mad Mad Mad Mad World,Rear Window
Pamela Torres,kennethelliott@example.net,585-73-0466,Female 35-54,Caucasian or White,Pretty Woman,Star Wars: Episode V - The Empire Strikes Back, , , 
Annette Hughes,sarahmartinez@example.net,122-46-4168,Female 35-54,Caucasian or White,Toy Story 3,National Lampoon's Christmas Vacation,How to Lose a Guy in 10 Days,Titanic,"Monsters, Inc."
Michael Levine,carolynbrown@example.org,241-94-8167,Male 35-54,American Indian or Alaska Native,Joe Versus the Volcano,The Sorcerer's Apprentice,Congo,Kelly's Heroes, 
George Leach,richardsonrhonda@example.com,425-49-1042,Female 35-54,African-American or Black,Halloween,Halloween II,A Nightmare on Elm Street,Child's Play,Friday the 13th
Joshua Mason,phayden@example.org,369-68-2490,Female 14-17,Caucasian or White,Frozen,Big,Forrest Gump,The Lion King,The Sound of Music
Linda Daniels,dfoster@example.com,269-78-1640,Female 35-54,Caucasian or White,Steel Magnolias,Creepshow,Heavy Metal,The Rocky Horror Picture Show,Legend
Jesus Hoover,michelle10@example.com,459-36-3139,Female 35-54,African-American or Black,Black Panther,Carmen Jones,Niagara,Dinner At Eight,Red Dust
Stephen Atkins,garnold@example.org,245-90-8035,Male 14-17,Caucasian or White,Bumblebee,How to Train Your Dragon: The Hidden World,Godzilla: King of the Monsters,Avengers: Endgame,The Lego Ninjago Movie
Eric Campbell,nwheeler@example.com,033-23-8209,Female 35-54,African-American or Black,Alien,Titanic,Avengers: Age of Ultron,Thor: Ragnarok,Spider-Man
Todd Turner,qgomez@example.net,355-68-4838,Female 35-54,Asian or Pacific Islander,The Count of Monte Cristo,Romeo + Juliet,Hocus Pocus,The Nightmare Before Christmas,The Mortal Instruments: City of Bones
Katie Mcgrath,lwade@example.org,054-95-3432,Female 35-54,Asian or Pacific Islander,Sixteen Candles,Steel Magnolias,The Princess Bride,Forrest Gump,The Little Mermaid
Lisa Love,jennifer44@example.org,838-61-5162,Female 14-17,Caucasian or White,Forrest Gump,Five Feet Apart,Holes,The Goonies,The Texas Chain Saw Massacre
Kimberly Peterson,mnavarro@example.net,882-86-6466,Female 35-54,Caucasian or White,While You Were Sleeping, , , , 
Julie Hart,dlambert@example.com,697-22-2465,Male 35-54,Asian or Pacific Islander,The Shawshank Redemption,Raiders of the Lost Ark,Star Wars: Episode V - The Empire Strikes Back,Back to the Future,The Matrix
Bethany Reed,tonysanders@example.net,286-41-1179,Female 35-54,Caucasian or White,Ever After: A Cinderella Story,Little women, , , 
Michele Cantu,josemoore@example.com,879-96-5882,Male 35-54,African-American or Black,Pootie Tang,A Madea Family Funeral,Beavis and Butt-Head Do America,Down to Earth,Tooth Fairy
Scott Buchanan,dominique26@example.net,633-09-5973,Male 14-17,African-American or Black,Bring It On,Drumline,The Lion King,It,Beyoncé docu
Allison Franklin,lawrenceashley@example.com,147-60-2178,Female 35-54,Other,Sixteen Candles,The Breakfast Club,Ghost,Cocktail,An Officer and a Gentleman
Craig Elliott,brendarodriguez@example.net,660-89-9977,Female 14-17,Caucasian or White,Die hard,Lion king,Cats & Dogs,Twilight, 
Brett Hicks,stevensanchez@example.org,762-50-7304,Male 14-17,Caucasian or White,American Pie,Titanic,My Brother's Keeper,Step Brothers,Big Daddy
Dawn Gomez,mclaughlinjeffrey@example.net,791-84-8003,Male 35-54,Asian or Pacific Islander,The Thing,Den of Thieves,Enemy of the State,Clear and Present Danger,The Game
Jeffrey Booker,vbarrera@example.org,608-03-3696,Female 35-54,Other,Steel Magnolias,The Blind Side,Friday,Twister,Norbit
Monica Goodwin,kristenpittman@example.org,478-42-0489,Female 14-17,Caucasian or White,The Nightmare Before Christmas,Beauty and the Beast,The Lion King,The Crow,Twelve Monkeys
Chad Romero,welchwilliam@example.net,568-95-8315,Female 25-34,Caucasian or White,The Nightmare Before Christmas,Mean Girls,"I Love You, Man",The color purple,Knocked Up
Kyle Sellers,stephaniewinters@example.org,172-43-5950,Male 14-17,African-American or Black,Mission: Impossible - Fallout,Fast and Furious, , , 
Robert Miller,dicksonmark@example.org,259-62-2604,Female 25-34,African-American or Black,The Lion King,White Christmas,Sixteen again,The Breakfast Club,Brown Sugar
John Hunt,bkeller@example.net,117-74-2167,Female 35-54,Caucasian or White,Who Framed Roger Rabbit,Almost Famous,billy madison,Tommy Boy,black sheep
Trevor Johnson,garysmith@example.org,328-50-4583,Female 35-54,African-American or Black,Love Jones,Boomerang,Dirty Dancing,The Blues Brothers,Jumanji: Welcome to the Jungle
Robert Chase,susanbenjamin@example.com,510-80-5717,Male 14-17,Caucasian or White,Star Wars: Episode III - Revenge of the Sith,Jaws,Avengers: Infinity War,The Shawshank Redemption,The Conjuring
Carol Nolan,byrdrichard@example.net,668-21-7198,Male 14-17,Caucasian or White,Avengers: Endgame,Spider-Man: Homecoming,Cars 2,Cloudy with a Chance of Meatballs,WALLÂ·E
Peggy Gibson,robertrodriguez@example.com,345-60-8348,Male 35-54,Asian or Pacific Islander,The Matrix,Lethal Weapon,Hellraiser,Platoon,Annihilation
Jennifer Joyce,nmoore@example.org,010-92-7603,Male 25-34,Caucasian or White,Avengers: Endgame,Jumanji,Fast and Furious,Star Wars: Episode V - The Empire Strikes Back,Star Wars: Episode II - Attack of the Clones
Ashley Pacheco,garretteileen@example.com,662-15-2761,Female 35-54,Caucasian or White,When Harry Met Sally...,Schindler's List,Forrest Gump,Pretty Woman,Top Gun
Christopher Rich,jessica80@example.org,894-30-9283,Female 35-54,Caucasian or White,A Walk to Remember,My Best Friend's Wedding,The Choice,Bridge to Terabithia,Grown Ups
Richard King,harrisalexander@example.com,676-65-6353,Male 14-17,African-American or Black,Transformers: Age of Extinction,Black Panther, , , 
Margaret Young,brycewoods@example.com,501-83-8553,Female 35-54,Caucasian or White,Blade Runner,Blade Runner 2049,The Life Aquatic with Steve Zissou,Breakfast at Tiffany's,The Joker
Melissa Taylor,cjones@example.com,395-40-3214,Male 25-34,Caucasian or White,Titanic,Avengers: Endgame,Avengers: Infinity War,A Star Is Born,Baby Driver
Sabrina Thompson,valerie94@example.org,377-17-6074,Female 14-17,Caucasian or White,The Little Mermaid,Avatar,Hachi: A Dog's Tale,A Dog's Journey,Maleficent
Aaron Young,denniscalderon@example.com,893-26-2911,Female 25-34,Caucasian or White,The Wizard of Oz,Lady and the Tramp,Superbad, , 
Rodney Torres,jonesnicole@example.net,720-34-2474,Male 14-17,Caucasian or White,None, , , , 
Andrea Bennett,carolyn71@example.com,818-03-9349,Male 35-54,Caucasian or White,Casablanca,Star Trek II: The Wrath of Khan,The Crow,The Dark Knight,Heavy Metal
Jennifer Sanders,thomastorres@example.com,620-91-5873,Female 14-17,Caucasian or White,X-Men: Apocalypse,Sextuple, , , 
James Reyes,allenwalter@example.com,498-73-5723,Female 35-54,African-American or Black,Black Panther,it,The Shawshank Redemption,King Kong vs. Godzilla,The Wizard of Oz
Holly Mercado,nicolemiller@example.com,660-41-0067,Female 35-54,Caucasian or White,The Breakfast Club,Braveheart,The joker,Bohemian Rhapsody,The Notebook
Chelsea Meadows,dshaw@example.org,704-99-3247,Male 35-54,Caucasian or White,Casablanca,Citizen Kane,Glengarry Glen Ross,Invasion of the Body Snatchers, 
Vanessa Rose,harrisashley@example.com,853-58-5777,Female 35-54,Caucasian or White,Dirty Dancing,The Notebook,Fireproof, , 
Edward Jones,ereed@example.org,353-34-6124,Female 35-54,Asian or Pacific Islander,Dead Again,Alien,Aliens,48 Hours,The Goonies
Timothy Holmes,richardbradford@example.net,421-42-7408,Male 25-34,Caucasian or White,Pride & Prejudice,Inception,The Lord of the Rings,The Curious Case of Benjamin Button,Resident Evil
Lori Walker,william16@example.net,647-78-9851,Male 25-34,Other,Fast and Furious,Taken,Taken 2,The Fast and the Furious,Avengers: Infinity War
Anna Garcia,fhunter@example.org,695-17-4085,Female 35-54,Caucasian or White,Crazy/Beautiful,Indiana Jones and the Last Crusade, , , 
Tammy Hamilton,victoriahernandez@example.org,200-67-3595,Female 35-54,African-American or Black,The Sound of Music,Forrest Gump,Singin' in the Rain,Dirty Dancing,Gone with the Wind
Nicholas Reyes,nathaniel32@example.org,607-63-4496,Female 25-34,Asian or Pacific Islander,Titanic,Mean Girls,Inception,Hocus Pocus,The Notebook
Kevin Martinez,jenniferjohnson@example.org,606-15-5128,Female 25-34,Caucasian or White,Bridesmaids, , , , 
Elizabeth Walker,ricky79@example.com,368-34-5466,Male 35-54,Caucasian or White,Secondhand Lions,Tarzan Finds a Son,Planet of the Apes,The Outlaw Josey Wales,Toy Story
James Berg,vjones@example.org,424-25-0045,Male 18-24,African-American or Black,Dragon Ball Super: Broly,Avengers: Endgame,Avengers: Infinity War,Iron Man 2,Regular Show: The Movie
Anthony Christian,tmartinez@example.org,695-90-9220,Female 35-54,Other,The Day After Tomorrow,Overboard with goldie hawn,the matrix,Office Space,the shining
Rebecca Jackson,melissanelson@example.net,437-53-1587,Female 35-54,Caucasian or White,Days of Thunder,The Notebook,8 Seconds,Fools Rush In,Romeo and Juliet
Cynthia Baker,kristina81@example.com,799-96-8005,Male 35-54,Caucasian or White,Fast and Furious,Spider-Man: Far from Home,Lion of the Desert,Kid Cannabis,Beauty and the Beast
Joseph Wilkerson,bday@example.net,667-42-8667,Female 35-54,Caucasian or White,Pineapple Express,Shakespeare in Love,Becoming Jane, , 
Charles Walsh PhD,zcarter@example.net,278-14-0848,Male 14-17,Other,Captain Marvel,Spider-Man,Avengers: Infinity War, , 
Stephen Ibarra,craig48@example.net,611-99-6286,Female 35-54,African-American or Black,Raising Arizona,The Princess Bride,Blue Is the Warmest Color,National Lampoon's Christmas Vacation,National Lampoon's Vacation
Mario Chavez,kristengentry@example.net,729-11-4878,Male 14-17,Caucasian or White,Avengers: Endgame,The Breakfast Club,The Wedding Singer,Iron Man,Happy Gilmore
Ryan Turner,dpalmer@example.org,427-44-1605,Male 14-17,Caucasian or White,The Punisher,The Devil's Rejects, , , 
Jeffery Reid,sloanjoseph@example.net,400-60-6600,Male 18-24,Caucasian or White,Undrafted,Eloise,The Covenant,IT,Pirates of the Caribbean: Dead Men Tell No Tales
Jordan Rangel,zfigueroa@example.org,191-68-7511,Female 25-34,Caucasian or White,The Notebook,Remember the Titans,Titanic,Step Up,Step Brothers
Diana Hughes,brett25@example.net,778-09-0069,Female 35-54,Caucasian or White,Purple Rain,Grease,Dirty Dancing,Pirates of the Caribbean: Dead Men Tell No Tales,A Nightmare on Elm Street
Jonathon Williams,bgonzalez@example.com,431-42-2388,Female 35-54,Other,Stardust,Star Wars: Episode V - The Empire Strikes Back,Clueless,Underworld,Reign of Fire
Samuel Mcclure,brandonclark@example.com,380-37-7573,Male 35-54,Caucasian or White,Steel Magnolias,Thelma & Louise,Dangerous Beauty,Titanic,The Color Purple
Stephen Bell MD,schang@example.net,192-13-8685,Female 14-17,Caucasian or White,Goonies,Ghostbusters,Debbie does dallas,Powder,Ghost
Robert Silva,david05@example.com,280-10-7644,Male 35-54,Caucasian or White,Forrest Gump,Saving Private Ryan,The Green Mile,The World According To Garp, 
Rebecca Cook,christyvincent@example.com,738-57-4247,Male 35-54,Caucasian or White,Tombstone,History of the World: Part I,National Lampoon's Animal House,Toy Story,Jungle Book
Susan Smith,xcross@example.net,623-83-4465,Female 35-54,Caucasian or White,Back to the Future, , , , 
Christopher Gray,garrettdavis@example.net,230-45-0002,Female 25-34,Caucasian or White,Eternal Sunshine of the Spotless Mind,Batman Dark Knight,Insidious,The Hills Have Eyes,Trainspotting
Kelly King,scottvirginia@example.org,008-62-8194,Male 18-24,Caucasian or White,The Princess Bride,Alien,Stuart Little,Frozen,Spaceballs
Jacqueline Martin,vanceroger@example.net,425-13-2632,Female 35-54,African-American or Black,What's Love Got to Do with It,The NeverEnding Story,Maleficent, , 
Joseph Young,davilabryan@example.com,243-30-7876,Female 14-17,Caucasian or White,The Lion King,The Kissing Booth,IT,Finding Dory,Annabelle: Creation
Joshua Flowers,saradavis@example.net,394-48-4842,Female 35-54,African-American or Black,Any Given Sunday,Life,Friday,Shaft,Remember the Titans
Sarah Peterson,randygarcia@example.net,818-32-9428,Male 14-17,Asian or Pacific Islander,Fast and Furious, , , , 
Manuel King,ralph28@example.com,031-46-7659,Female 35-54,Caucasian or White,The Sixth Sense,Iron Man,The Notebook,Selena,Bird Box
Garrett Mays,bennettkevin@example.com,371-70-9411,Female 35-54,Caucasian or White,Shakespeare in Love,The Fifth Element,Interview with the Vampire: The Vampire Chronicles,Moana, 
Steve Holmes,kennethhancock@example.org,833-13-8114,Male 35-54,Asian or Pacific Islander,Top gun,Dumb and dumber,Happy Gilmore,Harry Potter and the goblet of fire,Bloodsport
John Lewis,imitchell@example.org,067-29-5645,Female 35-54,African-American or Black,Dirty Dancing,The Color Purple,The Sound of Music, , 
Alicia Collins,turnerjennifer@example.net,562-70-8608,Female 14-17,Caucasian or White,Suicide Squad,Alice in Wonderland, , , 
Anthony Morrison,julian54@example.net,680-52-3653,Male 14-17,African-American or Black,Black Panther,Avengers: Age of Ultron,Fast & Furious Presents: Hobbs & Shaw, , 
Edward Landry,hroy@example.org,733-63-8658,Female 14-17,Caucasian or White,Spider-Man: Far from Home,Fast and Furious,50 first dates,Love Actually,Overboard
Mary Carlson,stonetimothy@example.net,704-02-1029,Male 18-24,Caucasian or White,Avengers: Endgame,Avengers: Infinity War,Spider-Man: Far from Home,Spider-Man: Homecoming,Doctor Strange
Monica Davidson,jonathanwalker@example.com,412-75-3105,Female 35-54,American Indian or Alaska Native,Coal Miner's Daughter,Grease,Caddyshack,The Wedding Singer,THEWEDDING DRESS
Raymond Morgan MD,eric11@example.net,610-02-9702,Male 35-54,African-American or Black,The Avengers,Captain America: Civil War,Black Panther,Spider-Man: Homecoming,Godzilla 2014
Jason Odonnell,jacobfischer@example.org,701-78-5230,Male 18-24,Caucasian or White,Casper,Ready Player One,Men in Black,Hocus Pocus,The Twilight Saga: Breaking Dawn - Part 2
Justin Walsh,harrisnicholas@example.net,137-88-9817,Male 35-54,Caucasian or White,Ben-Hur,The 'Burbs,The Lion King,Frozen,Patton
Robert Austin,deborahthompson@example.org,852-14-9660,Female 35-54,Other,Dirty Dancing,The Lion King,What's Eating Gilbert Grape,The Five Heartbeats,V for Vendetta
Shane Estrada,drodriguez@example.com,164-79-9650,Male 35-54,Caucasian or White,Star Wars: Episode IV - A New Hope,Star Wars: Episode V - The Empire Strikes Back,Office Space,The Avengers,Beetlejuice
Jason Powers,acooper@example.com,542-89-4642,Female 25-34,Caucasian or White,A Bronx Tale,National Lampoon's Christmas Vacation,Billy Madison,Step Brothers,Superbad
Johnathan Salinas,michael50@example.org,108-38-1850,Male 35-54,Caucasian or White,The Godfather: Part II,The Warriors,Back to the Future,The Breakfast Club,My Cousin Vinny
Brandon Hill,grayconnie@example.org,240-05-3811,Male 25-34,African-American or Black,Star Wars,Jaws,Die Hard,Terminator 2: Judgment Day,The Dark Knight
Steven Moore,petersenaustin@example.net,611-15-3082,Female 25-34,Caucasian or White,The Notebook,"Crazy, Stupid, Love.",Inside Out,The Ugly Truth,Law Abiding Citizen
Brian Davies,xyoung@example.net,635-06-1818,Male 35-54,Caucasian or White,ordinary people,Porky's,The Warriors,The Exorcist,Halloween
James Jones,ulang@example.net,448-25-0712,Male 18-24,Asian or Pacific Islander,Total Recall,Avengers: Age of Ultron,The Dark Knight Rises,Guardians of the Galaxy Vol. 2,X-Men: Apocalypse
Jordan Perry,khart@example.com,506-57-8857,Female 35-54,Caucasian or White,The Lion King,The 13th Warrior,Madagascar,Madam Satan,Toy Story 3
Richard Taylor,amandageorge@example.com,010-38-9828,Female 35-54,African-American or Black,Dolemite,Cooley High,Beverly Hills Cop,The Color Purple,Friday the 13th
Jessica Jackson,joe45@example.org,697-49-5601,Male 35-54,African-American or Black,Avengers: Endgame,Avengers: Infinity War,Black Panther,Frozen,Batman
